id,title,runtime,year,advertiser,products,mood,video_url,animals,characters,category
2861495,"Ready.gov TV Commercial, 'COVID-19: Can I Go to the Store?'",30,2020,Ready.gov,,Active,https://d3npuic909260z.cloudfront.net/002/861/495/np4C.mp4,,,covid
2861573,"Universal Orlando Resort TV Commercial, 'No es lo mismo sin ti'",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/861/573/npUi.mp4,,,covid
2861786,"Bush Hog TV Commercial, 'Turn to Who You Can Trust'",30,2020,Bush Hog,Bush Hog Rotary Cutter,Active,https://d3npuic909260z.cloudfront.net/002/861/786/nDLn.mp4,,,covid
2861787,"Dunkin' Refreshers TV Commercial, 'Refrescantes'",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/861/787/nDLt.mp4,,,covid
2861841,"Smart-2-Step System TV Commercial, 'Approved Disinfectant'",120,2020,Smart 2-Step System,"Smart 2-Step System Smart Touch Multi-Surface Disinfectant, Smart 2-Step System Smart Shield Surface Protectant, Smart 2-Step System Smart-2-Step System",Active,https://d3npuic909260z.cloudfront.net/002/861/841/nDYY.mp4,,,covid
2861957,"Clean Key TV Commercial, 'Public Surfaces'",60,2020,KeySmart,"KeySmart CleanKey, KeySmart Pro",Active,https://d3npuic909260z.cloudfront.net/002/861/957/nD7c.mp4,,,covid
2861987,"Corpus Christi Convention and Visitors Bureau TV Commercial, 'Coastal Distancing'",30,2020,Corpus Christi Convention and Visitors Bureau,,Active,https://d3npuic909260z.cloudfront.net/002/861/987/nDAg.mp4,"Fish, Porcupine",Kids,covid
2862334,"Choice Hotels TV Commercial, 'The Open Road Is Open Again' Song by Willie Nelson",30,2020,Choice Hotels,,Active,https://d3npuic909260z.cloudfront.net/002/862/334/nDZ3.mp4,,,covid
2862389,"National Suicide Prevention Lifeline TV Commercial, 'Uncharted Territory'",30,2020,National Suicide Prevention Lifeline,,Informational,https://d3npuic909260z.cloudfront.net/002/862/389/nDnJ.mp4,,,covid
2862645,"Tommie Copper Face Mask TV Commercial, 'Be Comfortable'",30,2020,Tommie Copper,Tommie Copper Community Wear Face Masks,Active,https://d3npuic909260z.cloudfront.net/002/862/645/nDbm.mp4,,,covid
2862719,"Biden for President TV Commercial, 'Unite Us'",60,2020,Biden for President,,Emotional,https://d3npuic909260z.cloudfront.net/002/862/719/nD29.mp4,,,covid
2862781,"ShamWow Mask TV Commercial, 'Save Yourself'",60,2020,ShamWow,ShamWow Mask,Funny,https://d3npuic909260z.cloudfront.net/002/862/781/nD1U.mp4,,,covid
2862850,"Choice Hotels TV Commercial, 'The Open Road Is Open Again: Earn a Free Night' Song by Willie Nelson",15,2020,Choice Hotels,,Active,https://d3npuic909260z.cloudfront.net/002/862/850/nD67.mp4,,,covid
2863004,"HelloFresh TV Commercial, 'Monica, Matt and Olive: $60 Off'",30,2020,HelloFresh,,Active,https://d3npuic909260z.cloudfront.net/002/863/004/nDTj.mp4,,,covid
2863446,"Honda Celebración del 4 de Julio TV Commercial, 'Disfruta del camino: Accord y Civic' [Spanish] [T2",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/863/446/nDDr.mp4,,,covid
2863476,"Chevrolet TV Commercial, 'Chevy Cares: el camino despejado: Certified Service' [Spanish] [T2",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/863/476/nDyV.mp4,,,covid
2863765,"Insta Slim TV Commercial, 'Re-Usable Face Masks'",30,2020,Insta Slim,Insta Slim Re-Usable Non-Medical Face Masks,Active,https://d3npuic909260z.cloudfront.net/002/863/765/nDrz.mp4,,,covid
2863929,"Love Has No Labels TV Commercial, 'Fight for Freedom'",60,2020,Love Has No Labels,,Emotional,https://d3npuic909260z.cloudfront.net/002/863/929/nDNt.mp4,,Kids,covid
2863942,"Dove CROWN Coalition TV Commercial, 'America the Beautiful' Song by Ray Charles",30,2020,Dove,,Emotional,https://d3npuic909260z.cloudfront.net/002/863/942/nDNG.mp4,,Kids,covid
2863995,"American Conservation Coalition TV Commercial, 'The Future Is Watching'",60,2020,American Conservation Coalition,,Active,https://d3npuic909260z.cloudfront.net/002/863/995/nDzb.mp4,,Kids,covid
2864011,"E-Z-GO TV Commercial, 'Life Wide Open' Song by IamDayLight",30,2020,E-Z-GO,,Emotional,https://d3npuic909260z.cloudfront.net/002/864/011/nDzR.mp4,Dogs,Kids,covid
2864012,"Masimo TV Commercial, 'Nothing New'",60,2020,Masimo,,Emotional,https://d3npuic909260z.cloudfront.net/002/864/012/nDzj.mp4,,Kids,covid
2864141,"Universal Orlando Resort TV Commercial, 'Who Has Three Parks, Has Missed You a Ton and Is Open Again?'",30,2020,Universal Orlando Resort,,Active,https://d3npuic909260z.cloudfront.net/002/864/141/nDsC.mp4,,,covid
2864253,"Bell + Howell Sonic Soap TV Commercial, 'Hands-Free Design'",120,2020,Bell + Howell,Bell + Howell Sonic Soap,Active,https://d3npuic909260z.cloudfront.net/002/864/253/nDWT.mp4,,,covid
2864415,"Jeep TV Commercial, 'Big Picture' [T2]",30,2020,Jeep,"2020 Jeep Cherokee, Jeep Wrangler Unlimited Rubicon, Jeep Cherokee Limited, Jeep Grand Cherokee Summit, Jeep Renegade Trailhawk, Jeep Compass Limited, Jeep Gladiator Rubicon",Emotional,https://d3npuic909260z.cloudfront.net/002/864/415/nDF0.mp4,,,covid
2864531,"Golf Galaxy TV Commercial, 'Contactless Club Fitting: Felt Good'",30,2020,Golf Galaxy,,Active,https://d3npuic909260z.cloudfront.net/002/864/531/nDXJ.mp4,,,covid
2864538,"Golf Galaxy TV Commercial, 'Contactless Club Fitting: Mavrik Max'",30,2020,Golf Galaxy,Callaway Mavrik Max,Active,https://d3npuic909260z.cloudfront.net/002/864/538/nDXQ.mp4,,,covid
2864739,"GoDaddy TV Commercial, 'They Did It, So Can You'",30,2020,GoDaddy,,Active,https://d3npuic909260z.cloudfront.net/002/864/739/nDeY.mp4,,,covid
2864766,"Burger King TV Commercial, 'Reopening Procedures'",15,2020,Burger King,,Active,https://d3npuic909260z.cloudfront.net/002/864/766/nDel.mp4,,,covid
2864776,"Target TV Commercial, 'Contactless Drive Up' Song by Keala Settle",15,2020,Target,Target App,Active,https://d3npuic909260z.cloudfront.net/002/864/776/nDeE.mp4,,Kids,covid
2864783,"Target TV Commercial, 'Contactless Same-Day Delivery' Song by Keala Settle",15,2020,Target,Target App,Active,https://d3npuic909260z.cloudfront.net/002/864/783/nDeJ.mp4,,Kids,covid
2864790,"Target TV Commercial, 'Sin contacto: Drive Up' canción de Carlos Vive",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/864/790/nDeQ.mp4,,,covid
2864797,"Target TV Commercial, 'Same Day Delivery: Entrega sin contacto' canción de Carlos Vive",15,2020,,,,https://d3npuic909260z.cloudfront.net/002/864/797/nDeU.mp4,,,covid
2864815,"Autotrader TV Commercial, 'Still Moving'",30,2020,Autotrader,Autotrader App,Emotional,https://d3npuic909260z.cloudfront.net/002/864/815/nDi2.mp4,,,covid
2864843,"Lysol TV Commercial, 'Healthy Habits'",30,2020,Lysol,,Active,https://d3npuic909260z.cloudfront.net/002/864/843/nDiH.mp4,,,covid
2864856,"Petplan TV Commercial, 'Unexpected Vet Care'",120,2020,Petplan,"Petplan Dog Insurance, Petplan Cat Insurance",Informational,https://d3npuic909260z.cloudfront.net/002/864/856/nDi0.mp4,"Cats, Dogs",,covid
2864931,"Procter & Gamble TV Commercial, 'Show Them Love'",60,2020,Procter & Gamble,,Active,https://d3npuic909260z.cloudfront.net/002/864/931/nD8w.mp4,Dogs,Kids,covid
2865128,"HUMIRA TV Commercial, 'Body of Proof: Bicycling, Painting, Traveling'",60,2020,HUMIRA [Arthritis | Psoriasis],HUMIRA [Arthritis | Psoriasis] HUMIRA [Arthritis],Active,https://d3npuic909260z.cloudfront.net/002/865/128/nD3q.mp4,"Dogs, Horses, Pigs, Rabbits",,covid
2865149,"Issue One Action TV Commercial, 'Make Voting Safe' Featuring Zach Wamp",30,2020,Issue One Action,,Active,https://d3npuic909260z.cloudfront.net/002/865/149/nD3C.mp4,,,covid
2865163,"Jack in the Box $5.99 Southwest Cheddar Cheeseburger Combo TV Commercial, 'Menutaur: The Best'",15,2020,Jack in the Box,"Jack in the Box Southwest Cheddar Cheeseburger Combo, Coca-Cola",Funny,https://d3npuic909260z.cloudfront.net/002/865/163/nD3e.mp4,,"Jack Box, Menutaur",covid
2865592,"MassMutual TV Commercial, 'Live Mutual'",30,2020,MassMutual,,Active,https://d3npuic909260z.cloudfront.net/002/865/592/nD9z.mp4,,Kids,covid
2865854,"Honda Celebración del 4 de Julio TV Commercial, 'Disfruta del camino: VUD' [Spanish] [T2",30,2020,,,,https://d3npuic909260z.cloudfront.net/002/865/854/nyYJ.mp4,,,covid
2865897,"Retirement Security Coalition TV Commercial, 'Essential Workers'",30,2020,Retirement Security Coalition,,Active,https://d3npuic909260z.cloudfront.net/002/865/897/ny7p.mp4,,,covid
2865911,"Enterprise TV Commercial, 'When You're Ready, We're Ready'",30,2020,Enterprise,,Active,https://d3npuic909260z.cloudfront.net/002/865/911/ny7W.mp4,,Kids,covid
2865921,"IKEA TV Commercial, 'What's Next'",30,2020,IKEA,,Active,https://d3npuic909260z.cloudfront.net/002/865/921/ny7m.mp4,,,covid
2865951,"Neutrogena Beach Defense TV Commercial, 'Soak Up the Sun: The Brand Derms Trust'",15,2020,Neutrogena (Skin Care),Neutrogena (Skin Care) Beach Defense Water + Sun Protection Sunscreen Stick Broad Spectrum SPF 50+,Active,https://d3npuic909260z.cloudfront.net/002/865/951/nyA5.mp4,Dogs,Kids,covid
